link ,label ,gender ,bio ,nation ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60352 ,Sabazius ,male ,An 'ancestral' god; his cult became associated with that of Zeus/Jupiter (q.v.) [Zeus/Jupiter Sabazius (q.v.)]. ,Phrygian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60416 ,Sucellus ,male ,God with powers of protection and provision. ,Gaulish ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60697 ,Tethys ,female ,Goddess of the sea and wife of Oceanus (q.v.). ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60697 ,Tethys ,female ,Goddess of the sea and wife of Oceanus (q.v.). ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60700 ,Thalassa ,female ,Sea-goddess. ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58871 ,Isis-Demeter ,female ,"Syncretic deity, combining the attributes of the goddesses Isis (q.v.) and Demeter/Ceres (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58871 ,Isis-Demeter ,female ,"Syncretic deity, combining the attributes of the goddesses Isis (q.v.) and Demeter/Ceres (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58874 ,Isis-Tyche ,female ,"Syncretic deity, combining the attributes of the goddesses Isis (q.v.) and Tyche (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58874 ,Isis-Tyche ,female ,"Syncretic deity, combining the attributes of the goddesses Isis (q.v.) and Tyche (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61920 ,Baal Hammon ,male ,Manifestation of Baal (q.v.). ,Syrian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60909 ,Vertumnus ,male ,"God of spring, gardens, orchards and ripening fruit. In Ovid's Metamorphoses, he disguised himself into an old woman to approach Pomona (q.v.) and convince her to marry him. ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58920 ,Juno-Isis ,female ,"Syncretic deity, combining the attributes of the goddesses Hera/Juno (q.v.) and Isis (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58920 ,Juno-Isis ,female ,"Syncretic deity, combining the attributes of the goddesses Hera/Juno (q.v.) and Isis (q.v.). ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58869 ,Isis Pelagia ,female ,Manifestation of Isis (q.v.). ,Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58869 ,Isis Pelagia ,female ,Manifestation of Isis (q.v.). ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59097 ,Leucothea ,female ,"Sea-goddess; as Ino, wife of Athamas (q.v.) and sister of Semele (q.v.); mother of Learchos and Melicertes. Jealous of Phrixos (q.v.) and Helle (q.v.), Athamas' children with first wife Nephele, Ino secretly roasted the crop seeds so they would not grow. As the country was struck with famine, Ino bribed the messengers coming back from Delphi into saying that the only way to appease the gods was to sacrifice Phrixos and Helle. The two children were saved by the ram with the golden fleece.

Later she was entrusted with the upbringing of Dionysus/Bacchus (q.v.), so of her sister Semele, but was punished by Hera and leapt into the sea; transformed into Leucothea or Ino-Leucothea, she was worshipped throughout Greece as a goddess associated with initiation and rites of passage and reversal. ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59565 ,Ninkarrak ,female ,"Tutelary goddess of Urukug; originally, goddess of the dog and, later, goddess of healing; daughter of An (q.v.). ",Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59720 ,Pa-Bil-Sag ,male ,Babylonian god. ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59830 ,Poseidon-Serapis ,male ,"Syncretic deity, combining the attributes of the gods Poseidon/Neptune (q.v.) and Serapis (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59830 ,Poseidon-Serapis ,male ,"Syncretic deity, combining the attributes of the gods Poseidon/Neptune (q.v.) and Serapis (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60205 ,Reshef-Mikal ,male ,"Reminiscent of both the Phoenician god, Melqart, and Herakles/Hercules (q.v.); later equated with Apollo (q.v.). ",Phoenician ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60375 ,Serapis-Agathodaimon ,male ,"Syncretic deity, combining the attributes of the gods Serapis (q.v.) and Agatho Daimon (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60375 ,Serapis-Agathodaimon ,male ,"Syncretic deity, combining the attributes of the gods Serapis (q.v.) and Agatho Daimon (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60683 ,Taranis ,male ,Celtic god of thunder. ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60683 ,Taranis ,male ,Celtic god of thunder. ,Celtic ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61766 ,Aja ,female ,Goddess ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62224 ,Gula ,female ,Goddess of healing. ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61833 ,Athtar ,male ,"Supreme god of Ancient South Arabia. God of the thunderstorm and provider of rain. Symbols are crescent moon and disc and antelope. Minean title given to ʿAthtar is dhῡ-Qabd. Other names include Sharqan, dhu-Yahriq, and dhu- Dhiban. ",Arabian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62146 ,Ea ,male ,"Major god, Lord of Apsu, the fresh waters beneath the earth; sometimes associated with semen and amniotic fluid and fertility; god of ritual purification; he governed the arts of sorcery and incantation; a form-giving god and patron of craftsmen and artists; the bearer of culture; an adviser to the king and a clever mediator who could be devious and cunning; also father of Marduk (q.v.). ",Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62162 ,Enlil ,male ,"Variant of An (q.v.); god of the atmosphere and agriculture; as 'Lord Wind' and 'Lord of the Air', both the hurricane and the gentle winds of spring were thought of as the breath issuing from his mouth and as his words or commands; embodiment of energy and force and authority. ",Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61815 ,Ashur ,male ,"Tutelary god of Ashur and national god of Assyria; vigorous and warlike, he granted rule over Assyria and supported Assyrian arms against enemies; personification of the interests of Assyria as a political entity. ",Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62098 ,Dinitu ,female ,"Sometimes, goddess of the dawn. ",Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60383 ,Shala ,female ,Minor goddess and consort. ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61788 ,Anbay ,male ,"God, male, associated with Qataban ",South-Arabian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61829 ,Athar ,male ,God of fire. ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62263 ,Haldi ,male ,National god of the ancient kingdom of Urartu. ,Urartian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/59555 ,Nereus ,male ,"Minor sea-god; son of Pontus and husband of the Oceanid, Doris (q.v.); father of the Nereids (q.v.). ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62561 ,Meslamtaea ,male ,City god of Cuthah in Akkad; perhaps originally a tree-god; son of Enlil (q.v.); sometimes ruler of the underworld. ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62651 ,Nanshe ,female ,City goddess of Nina in the southeastern part of the Lagash region: patron of fish and fishing; often described as a divine soothsayer and dream interpreter. ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62671 ,Ningirsu ,male ,"City god of Girsu; god of spring thunder, rainstorms and floods; god of the plough and ploughing; early variant of Ninurta (q.v.). ",Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62674 ,Ninsun ,female ,"Mother-goddess and tutelary deity of Kullab; as 'Lady Wild Cow', the divine power behind, as well as the embodiment of, all the right qualities of the herdsman. ",Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/84668 ,Nakrah ,female ,Named on South Arabian inscription. ,South-Arabian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/84930 ,Yanuf ,female ,Sun goddess named on South Arabian inscription. ,South-Arabian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/62365 ,Inanna of Zabalam ,female ,Manifestation of Inanna (q.v.). ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/63180 ,Zababa ,male ,God of war. ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/63094 ,Uttu ,female ,Goddess of weaving. ,Mesopotamian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/120349 ,Woden ,male ,One of the principal gods in Norse mythology; earlier form of Odin; war-god and the protector of heroes; fallen warriors joined him in Valhalla; a great magician associated with runes; god of poets. ,Anglo-Saxon ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/120349 ,Woden ,male ,One of the principal gods in Norse mythology; earlier form of Odin; war-god and the protector of heroes; fallen warriors joined him in Valhalla; a great magician associated with runes; god of poets. ,Norse ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/64463 ,Alpheus ,male ,River god; he loved and pursued Arethusa (q.v.) ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/64463 ,Alpheus ,male ,River god; he loved and pursued Arethusa (q.v.) ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/80157 ,Tmolus ,male ,Mountain god; judged the contest of Apollo (q.v.) and Pan (q.v.) ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/80157 ,Tmolus ,male ,Mountain god; judged the contest of Apollo (q.v.) and Pan (q.v.) ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/120350 ,Frey ,male ,Germanic god of fertility. ,Anglo-Saxon ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60208 ,Roma ,female ,Goddess and personification of the city of Rome. ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58628 ,Herakles/Hercules ,male ,Celebrated hero; particularly famed for the completion of the Twelve Labours imposed upon him by Eurystheus (q.v.); deified at death. Sometimes called Alcides (descendant of Alcaeus). ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58628 ,Herakles/Hercules ,male ,Celebrated hero; particularly famed for the completion of the Twelve Labours imposed upon him by Eurystheus (q.v.); deified at death. Sometimes called Alcides (descendant of Alcaeus). ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58628 ,Herakles/Hercules ,male ,Celebrated hero; particularly famed for the completion of the Twelve Labours imposed upon him by Eurystheus (q.v.); deified at death. Sometimes called Alcides (descendant of Alcaeus). ,Etruscan ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60374 ,Serapis ,male ,"Syncretic Egyptian and Hellenistic deity, combining the attributes of the gods Osiris (q.v.) and Apis (q.v.), his cult was associated with life after death and agricultural fecundity; subsequently conflated with many deities of the Greek pantheon:  Zeus (q.v.); Hades (q.v.); Dionysos (q.v.); Helios (q.v.); Asclepius (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60374 ,Serapis ,male ,"Syncretic Egyptian and Hellenistic deity, combining the attributes of the gods Osiris (q.v.) and Apis (q.v.), his cult was associated with life after death and agricultural fecundity; subsequently conflated with many deities of the Greek pantheon:  Zeus (q.v.); Hades (q.v.); Dionysos (q.v.); Helios (q.v.); Asclepius (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60374 ,Serapis ,male ,"Syncretic Egyptian and Hellenistic deity, combining the attributes of the gods Osiris (q.v.) and Apis (q.v.), his cult was associated with life after death and agricultural fecundity; subsequently conflated with many deities of the Greek pantheon:  Zeus (q.v.); Hades (q.v.); Dionysos (q.v.); Helios (q.v.); Asclepius (q.v.). ",Kushan ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61147 ,Zeus/Jupiter Serapis ,male ,"Syncretic deity, combining the attributes of the gods Zeus/Jupiter (q.v.) and Serapis (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61147 ,Zeus/Jupiter Serapis ,male ,"Syncretic deity, combining the attributes of the gods Zeus/Jupiter (q.v.) and Serapis (q.v.). ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/61147 ,Zeus/Jupiter Serapis ,male ,"Syncretic deity, combining the attributes of the gods Zeus/Jupiter (q.v.) and Serapis (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60385 ,Silenos ,male ,A rural god and chief follower of Dionysos/Bacchus (q.v.). ,Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60385 ,Silenos ,male ,A rural god and chief follower of Dionysos/Bacchus (q.v.). ,Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60915 ,Nike/Victoria/Victory ,female ,"Goddess and, more generally, personification of victory; messenger of the gods; she crowned victorious warriors, athletes and artists. ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/60915 ,Nike/Victoria/Victory ,female ,"Goddess and, more generally, personification of victory; messenger of the gods; she crowned victorious warriors, athletes and artists. ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637 ,Hermes/Mercury ,male ,"One of the twelve Olympian gods; patron deity of travellers and, subsequently, of commerce; also, sometimes, a trickster; son of Zeus/Jupiter (q.v.) amd Maia (q.v.); messenger of the gods and often a guide to mortals; protector of both shepherds and their flocks; later he became a personification of Eloquence and Reason; his image, the Herm, was often placed at roadsides to mark distances or boundaries.



Specific manifestations include Hermes Psychopompos (as conductor of the souls of the dead). Use also for personifications of the planet. ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637 ,Hermes/Mercury ,male ,"One of the twelve Olympian gods; patron deity of travellers and, subsequently, of commerce; also, sometimes, a trickster; son of Zeus/Jupiter (q.v.) amd Maia (q.v.); messenger of the gods and often a guide to mortals; protector of both shepherds and their flocks; later he became a personification of Eloquence and Reason; his image, the Herm, was often placed at roadsides to mark distances or boundaries.



Specific manifestations include Hermes Psychopompos (as conductor of the souls of the dead). Use also for personifications of the planet. ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58637 ,Hermes/Mercury ,male ,"One of the twelve Olympian gods; patron deity of travellers and, subsequently, of commerce; also, sometimes, a trickster; son of Zeus/Jupiter (q.v.) amd Maia (q.v.); messenger of the gods and often a guide to mortals; protector of both shepherds and their flocks; later he became a personification of Eloquence and Reason; his image, the Herm, was often placed at roadsides to mark distances or boundaries.



Specific manifestations include Hermes Psychopompos (as conductor of the souls of the dead). Use also for personifications of the planet. ",Etruscan ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921 ,Zeus/Jupiter ,male ,"One of the twelve Olympian gods and chief god of the Roman pantheon; specifically a god of the sky, he embodied all the benign and vengeful powers and functions of divinity; he led the other Olympian gods in their overthrow of the Titans (q.v.) and, as the husband of Hera/Juno (q.v.), is particularly known for his many infidelities.



Includes the specific manifestations Jupiter Tonans ('Lightning Jupiter'), Zeus Keraunios ('The Thunderer') and Zeus Horkios (God of Oaths). Also includes the manifestation Zeus/Jupiter Dolichenus, originating in eastern Turkey.



The term is also used for the personification of the planet.  For depictions of the actual planet, see the Place Thesaurus. ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921 ,Zeus/Jupiter ,male ,"One of the twelve Olympian gods and chief god of the Roman pantheon; specifically a god of the sky, he embodied all the benign and vengeful powers and functions of divinity; he led the other Olympian gods in their overthrow of the Titans (q.v.) and, as the husband of Hera/Juno (q.v.), is particularly known for his many infidelities.



Includes the specific manifestations Jupiter Tonans ('Lightning Jupiter'), Zeus Keraunios ('The Thunderer') and Zeus Horkios (God of Oaths). Also includes the manifestation Zeus/Jupiter Dolichenus, originating in eastern Turkey.



The term is also used for the personification of the planet.  For depictions of the actual planet, see the Place Thesaurus. ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58921 ,Zeus/Jupiter ,male ,"One of the twelve Olympian gods and chief god of the Roman pantheon; specifically a god of the sky, he embodied all the benign and vengeful powers and functions of divinity; he led the other Olympian gods in their overthrow of the Titans (q.v.) and, as the husband of Hera/Juno (q.v.), is particularly known for his many infidelities.



Includes the specific manifestations Jupiter Tonans ('Lightning Jupiter'), Zeus Keraunios ('The Thunderer') and Zeus Horkios (God of Oaths). Also includes the manifestation Zeus/Jupiter Dolichenus, originating in eastern Turkey.



The term is also used for the personification of the planet.  For depictions of the actual planet, see the Place Thesaurus. ",Etruscan ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58617 ,Helios-Serapis ,male ,"Syncretic deity, combining the attributes of the gods Helios/Sol (q.v.) and Serapis (q.v.). ",Egyptian ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58617 ,Helios-Serapis ,male ,"Syncretic deity, combining the attributes of the gods Helios/Sol (q.v.) and Serapis (q.v.). ",Roman ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58617 ,Helios-Serapis ,male ,"Syncretic deity, combining the attributes of the gods Helios/Sol (q.v.) and Serapis (q.v.). ",Greek ,
https://public.researchspace.org/resource/?uri=http://collection.britishmuseum.org/id/person-institution/58873 ,Isis-Thermuthis ,female ,Manifestation of Isis (q.v.). ,Egyptian ,
